Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,900,231522215,2554298,4100834,5108886,1250192,1716202,2863,7613,512125,3895,56700,980580,777313,15468,483374,517988,1279672,45950,61719,7757662,100224,1570882,518951,62570,480262,12766,90123,764862,1524583,56392,1769639,8448,48459,1378735,1641243,273084,1113662,345240,1307417,171685,11129,4391,135587,348555,27767,604008,9344919,788568,136980,2448385,108901,185116,25507,130364,978250,757903,1476344,84611,148102,449766,211216,1200776,252435,14085,74793,1190441,1144408,3469449,1526093,119125,356702,186281,585853,13390,330,197057,308420,2061829,4376,4440,31177,69334,739045,3970078,719236,15740,903714,17729,57910,15382,2789,1049865,395857,90392,462187,1170752,192,659606,527429,35771,14165774,2992338,1058557,2318696,771572,1241,356445,2963875,1094899,882123,639233,3787623,439925,4793,323034,718186,1291837,333632,683061,323320,352252,142192,3918,570979,56076,164873,282036,1673671,1327,869894,109541,9821,17273,135803,169374,7085,13212419,29318,52544,65654,283180,14586,2854502,797355,2647982,137498,1549,1044688,998666,6355,754943,655117,271493,1029466,7127,10043,197601,24029,5682673,5532,149952,39066,770441,1373387,5481683,3662384,1984230,1712357,19927,2594382,851512,2749,3333290,10835088,320678,1395,28756,56027,505,60295,129150,3334,36082,262851,533085,1317970,9426,332380,303394,21061,349279,158076,3631,1921361,786618,777847,1170717,1245187,3640155,1158816,262006,96813,335762,620378,680959,602840,894259,515396,33382,456181,2762,60319,374092,643612,3108971,244921,1665,4021,628882,5560188,131494,5178027,248878,2979930,4176,336741,1894542,8766,630686,2600693,8566,101565,923235,228779,656207
More developed regions,901,135583436,891056,684710,416685,1243749,1619259,1030,7498,221068,1822,25882,637858,734053,9830,394726,476770,909757,43989,13774,671762,94653,1375905,477997,55856,27917,12522,3492,310658,1520153,3598,1396824,4090,16131,631779,24945,20418,311017,194550,1176989,150086,7760,4245,18191,10148,27631,325683,5044033,690145,21985,1299524,36389,107142,25463,97848,139838,753625,1391255,69767,129741,441093,18715,171284,236894,7942,52141,1066097,1060613,510656,1459452,25448,124203,176095,331158,13375,247,194358,300375,1516547,253,3570,22560,53205,626337,3282642,382583,15646,766161,17213,49016,3883,200,965769,75724,40306,412156,817857,188,598382,506150,34953,4177249,423163,953459,715615,753572,1238,273806,2635636,1060554,580707,127244,3606622,333281,3699,66527,671487,272107,315067,513939,1373,95806,80394,3777,530068,55595,128458,21574,342603,921,96646,109007,9171,2345,29779,152493,18,13133670,19887,51945,37350,227920,11626,2629819,89485,149702,4647,1316,188649,881651,2043,702650,309002,9505,632782,7073,7385,172046,10539,1331846,3042,123586,38786,121645,908763,3257427,3502186,1713004,1685712,5525,2247639,794456,389,3176062,6885807,19950,168,15432,39529,451,44503,97695,3261,19217,144217,281591,1200907,7911,71754,174847,17911,347688,156250,3152,366492,659524,59853,875986,665014,70229,54531,224579,3177,317071,575544,263428,511098,654404,465619,13187,47163,2610,57890,352362,589801,2787349,219951,1349,2503,112121,4832724,43456,4458581,88053,1202687,73,165701,1477566,2805,496497,2263164,109,103,76046,59959,198358
Less developed regions,902,95938779,1663242,3416124,4692201,6443,96943,1833,115,291057,2073,30818,342722,43260,5638,88648,41218,369915,1961,47945,7085900,5571,194977,40954,6714,452345,244,86631,454204,4430,52794,372815,4358,32328,746956,1616298,252666,802645,150690,130428,21599,3369,146,117396,338407,136,278325,4300886,98423,114995,1148861,72512,77974,44,32516,838412,4278,85089,14844,18361,8673,192501,1029492,15541,6143,22652,124344,83795,2958793,66641,93677,232499,10186,254695,15,83,2699,8045,545282,4123,870,8617,16129,112708,687436,336653,94,137553,516,8894,11499,2589,84096,320133,50086,50031,352895,4,61224,21279,818,9988525,2569175,105098,1603081,18000,3,82639,328239,34345,301416,511989,181001,106644,1094,256507,46699,1019730,18565,169122,321947,256446,61798,141,40911,481,36415,260462,1331068,406,773248,534,650,14928,106024,16881,7067,78749,9431,599,28304,55260,2960,224683,707870,2498280,132851,233,856039,117015,4312,52293,346115,261988,396684,54,2658,25555,13490,4350827,2490,26366,280,648796,464624,2224256,160198,271226,26645,14402,346743,57056,2360,157228,3949281,300728,1227,13324,16498,54,15792,31455,73,16865,118634,251494,117063,1515,260626,128547,3150,1591,1826,479,1554869,127094,717994,294731,580173,3569926,1104285,37427,93636,18691,44834,417531,91742,239855,49777,20195,409018,152,2429,21730,53811,321622,24970,316,1518,516761,727464,88038,719446,160825,1777243,4103,171040,416976,5961,134189,337529,8457,101462,847189,168820,457849
Least developed countries,941,10958217,274129,822420,2,0,10851,1812,0,192340,0,21264,1075,0,0,2361,352,0,0,29603,2956,0,0,1415,0,84422,0,79823,0,0,222,15843,0,0,0,53328,243348,20549,42804,2705,15829,0,0,92935,149016,0,725,259746,119,0,1651,6286,38875,16,546,818320,0,2576,0,0,0,324,717898,214,3827,0,4799,0,30000,0,488,159464,0,92139,0,0,743,0,50269,0,366,5906,9761,0,5792,96759,0,36,0,0,0,0,0,200988,37701,0,4,0,0,0,0,956801,161943,39,10514,29,0,0,4260,0,14615,0,0,85684,47,69,0,86865,0,4756,7841,141996,3220,0,0,0,9607,87743,229607,0,159644,0,0,0,59198,504,0,610,0,0,0,0,0,3963,73642,197997,1528,151,39152,336,251,2500,0,113126,127469,8,0,14047,11,72443,0,0,117,0,704,1006,0,18638,3082,25,548,0,850,40,1017,270724,0,0,0,0,0,5,0,8865,2322,178470,0,374,255131,9625,0,0,0,135,798672,25186,608026,4066,703,4072,581468,0,113,113,1072,3254,24658,43698,0,0,76055,122,118,0,602,0,0,0,1131,237081,54,151,38447,113929,55928,0,571,1232,416,5005,76048,734,0,556,56653,66647
Less developed regions excluding least developed countries,934,84980562,1389113,2593704,4692199,6443,86092,21,115,98717,2073,9554,341647,43260,5638,86287,40866,369915,1961,18342,7082944,5571,194977,39539,6714,367923,244,6808,454204,4430,52572,356972,4358,32328,746956,1562970,9318,782096,107886,127723,5770,3369,146,24461,189391,136,277600,4041140,98304,114995,1147210,66226,39099,28,31970,20092,4278,82513,14844,18361,8673,192177,311594,15327,2316,22652,119545,83795,2928793,66641,93189,73035,10186,162556,15,83,1956,8045,495013,4123,504,2711,6368,112708,681644,239894,94,137517,516,8894,11499,2589,84096,119145,12385,50031,352891,4,61224,21279,818,9031724,2407232,105059,1592567,17971,3,82639,323979,34345,286801,511989,181001,20960,1047,256438,46699,932865,18565,164366,314106,114450,58578,141,40911,481,26808,172719,1101461,406,613604,534,650,14928,46826,16377,7067,78139,9431,599,28304,55260,2960,220720,634228,2300283,131323,82,816887,116679,4061,49793,346115,148862,269215,46,2658,11508,13479,4278384,2490,26366,163,648796,463920,2223250,160198,252588,23563,14377,346195,57056,1510,157188,3948264,30004,1227,13324,16498,54,15792,31450,73,8000,116312,73024,117063,1141,5495,118922,3150,1591,1826,344,756197,101908,109968,290665,579470,3565854,522817,37427,93523,18578,43762,414277,67084,196157,49777,20195,332963,30,2311,21730,53209,321622,24970,316,387,279680,727410,87887,680999,46896,1721315,4103,170469,415744,5545,129184,261481,7723,101462,846633,112167,391202
Sub-Saharan Africa,947,17228396,415230,947988,50,83,11141,4,0,283372,0,0,2370,0,0,6514,2783,1,1,89,2937,28,110,9748,0,452252,57,0,83,166,52715,4184,15,14,3867,1616175,252611,0,150190,5549,20199,694,0,117251,318481,0,366,57506,1263,0,271,65553,76594,0,0,836998,515,1419,7953,2655,1077,550,1027717,3021,3827,0,0,0,40635,2,93573,160783,74,116098,0,2,24,351,192925,1,0,8553,16034,0,36715,334969,27,4914,0,0,0,0,63,319019,47697,28,5,0,0,3,22,98327,1331,527,326,12567,0,3362,26376,135,1773,53,0,102914,0,153,18,31,391,9832,321909,256246,7497,0,297,25,36246,260369,1015,90,772242,239,0,0,104741,16526,6983,270,0,24,1,0,0,5668,706213,203,132756,16,275,21026,0,2939,103,261378,362146,22,20,1189,43,17305,0,41,61,83,149,2185,9276,73161,0,25,1867,0,1166,1235,7123,299906,166,37,0,0,0,0,0,16772,2756,247532,2840,1437,260220,890,1617,296,0,4,1115579,89488,648667,2722,3342,427,567082,0,93605,722,1996,541,0,1088,114,7,408932,0,0,20,856,1109,0,0,0,515773,3829,320,338100,159770,26494,70,80,0,1,211,176,0,0,636,167696,457206
AFRICA,903,18644454,421267,964036,497,502,45626,4,0,283411,0,24,2447,358,0,7723,3996,47,22,1651,4955,28,1339,10840,7,452265,57,1,84,625,52725,4542,15,82,3923,1616230,252624,7,150283,10150,20199,694,0,117319,319869,0,401,62470,1270,0,310,72489,77155,0,1,837990,566,1424,7953,2710,1161,614,1028322,4266,6128,0,0,17,61225,1144,93574,164551,120,119282,0,2,25,1692,209560,8,0,8560,16050,10,48062,335962,40,9141,0,0,0,0,76,319979,49089,28,5,0,1,475,23,106145,22855,1101,111556,12623,0,3413,40639,135,3396,33992,1296,103383,0,17585,106,32,392,28380,321916,256302,24472,1,304,32,36267,260408,13803,167,773070,240,0,0,105756,16531,6983,316,0,408,44,0,0,19794,706237,220,132769,16,282,23883,0,2977,104,261876,366747,22,20,1658,2777,21275,0,42,62,84,154,9304,10375,73207,0,2310,3025,88,1166,2198,18818,299919,166,38,0,0,0,1,1,16779,61354,251003,2841,1466,260551,1972,1617,334,5,4,1285664,90535,654576,3895,3855,440012,592636,0,93612,1931,3503,46903,1099,5689,165,7,408939,0,0,20,5834,5203,331,0,0,515845,5243,4802,349774,160141,42451,70,85,526,1,258,177,0,101451,36280,167718,457228
Eastern Africa,910,5217048,118488,312710,0,0,2953,4,0,45910,0,0,6,0,0,258,17,1,0,0,351,0,0,1184,0,0,0,0,0,0,4240,1,3,0,3,0,223742,0,9,967,6653,0,0,4075,4454,0,0,27278,74,0,0,65452,27129,0,0,76,1,61,0,0,1,199,654298,176,3827,0,0,0,4534,0,0,15672,0,46882,0,0,0,1,114717,1,0,1,0,0,2171,114,0,37,0,0,0,0,0,3,0,0,1,0,0,3,6,40595,134,1,0,14,0,3,1652,0,363,0,0,83361,0,0,0,0,0,3,7841,0,180,0,1,1,35238,186116,162,37,274,0,0,0,0,6458,6983,0,0,0,1,0,0,11,233880,0,749,0,156,219,0,1,0,0,3250,7,0,1,12,4919,0,0,3,0,0,669,0,4344,0,0,197,0,854,4,470,145066,0,13,0,0,0,0,0,0,0,100,1,542,1,41,0,1,0,0,1096381,31074,349436,69,568,0,456900,0,91,36,169,1,0,228,0,0,3,0,0,1,0,0,0,0,0,506921,14,1,21872,146364,3032,0,0,0,1,1,64,0,0,447,83131,66570
Burundi,108,254477,2877,18277,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148852,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,,,,24851,,,,,,,,,,,,
Comoros,174,12511,597,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,
